"Секція";"Поле";"Значення"
"Ресурс 13";"Дата створення ресурсу";"2026-03-10T22:00:53"
"Ресурс 13";"Дата оновлення ресурсу";"2026-03-10T22:15:33"
"Ресурс 13";"Період даних";"-"
"Ресурс 13";"Джерело даних";"ІАС «Майно»"
"Ресурс 13";"Володілець(і) даних";"Комунальне підприємство «Київський метрополітен»"
"Ресурс 13";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 13";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/15/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 13";"Версії ресурсу";"-"
"Ресурс 13";"Доступність через API";"True"

"Ресурс 14";"Ідентифікатор ресурсу";"b1352a36-3b4d-4a4d-b73d-162479c71bd0"
"Ресурс 14";"Назва ресурсу";"timePeriodUnderground"
"Ресурс 14";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про погодинні інтервали руху поїздів Київського метрополітену в робочі та вихідні дні. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 14";"Формат";"JSON"
"Ресурс 14";"Код ресурсу";"OTHER"
"Ресурс 14";"Дата створення ресурсу";"2026-03-10T22:19:06"
"Ресурс 14";"Дата оновлення ресурсу";"2026-03-10T22:22:44"
"Ресурс 14";"Період даних";"-"
"Ресурс 14";"Джерело даних";"ІАС «Майно»"
"Ресурс 14";"Володілець(і) даних";"Комунальне підприємство «Київський метрополітен»"
"Ресурс 14";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 14";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/14/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 14";"Версії ресурсу";"-"
"Ресурс 14";"Доступність через API";"True"

"Ресурс 15";"Ідентифікатор ресурсу";"b7429519-c76d-4a10-a898-896fddf2f37e"
"Ресурс 15";"Назва ресурсу";"stopTimesUnderground"
"Ресурс 15";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про коди та назви станцій Київського метрополітену, а також час відправлення першого та останнього поїзда. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 15";"Формат";"JSON"
"Ресурс 15";"Код ресурсу";"OTHER"
"Ресурс 15";"Дата створення ресурсу";"2026-03-10T22:22:44"
"Ресурс 15";"Дата оновлення ресурсу";"2026-03-10T22:28:34"
"Ресурс 15";"Період даних";"-"
"Ресурс 15";"Джерело даних";"ІАС «Майно»"
"Ресурс 15";"Володілець(і) даних";"Комунальне підприємство «Київський метрополітен»"
"Ресурс 15";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 15";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/13/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 15";"Версії ресурсу";"-"
"Ресурс 15";"Доступність через API";"True"

"Ресурс 16";"Ідентифікатор ресурсу";"b675a915-11fb-470e-af53-5c7f657b7d11"
"Ресурс 16";"Назва ресурсу";"calendarUnderground"
"Ресурс 16";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про час роботи Київського метрополітену (відкриття та закриття), а також про кількість його вестибюлів. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON"
"Ресурс 16";"Формат";"JSON"
"Ресурс 16";"Код ресурсу";"OTHER"
"Ресурс 16";"Дата створення ресурсу";"2026-03-10T22:28:34"
"Ресурс 16";"Дата оновлення ресурсу";"2026-03-10T22:36:05"
"Ресурс 16";"Період даних";"-"
"Ресурс 16";"Джерело даних";"ІАС «Майно»"
"Ресурс 16";"Володілець(і) даних";"Комунальне підприємство «Київський метрополітен»"
"Ресурс 16";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 16";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/12/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=pjson"
"Ресурс 16";"Версії ресурсу";"-"
"Ресурс 16";"Доступність через API";"True"

"Ресурс 17";"Ідентифікатор ресурсу";"5e385793-58e2-49eb-b856-a963dd7486bb"
"Ресурс 17";"Назва ресурсу";"underground"
"Ресурс 17";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про схеми руху Київського метрополітену, в тому числі інформацію про ідентифікатори та коди складових сегментів маршруту, назви маршрутів, їх напрямок та порядок слідування, тощо. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі GeoJSON."
"Ресурс 17";"Формат";"GeoJSON"
"Ресурс 17";"Код ресурсу";"OTHER"
"Ресурс 17";"Дата створення ресурсу";"2026-03-10T22:36:05"
"Ресурс 17";"Дата оновлення ресурсу";"2026-03-12T14:07:04"
"Ресурс 17";"Період даних";"-"
"Ресурс 17";"Джерело даних";"ІАС «Майно»"
"Ресурс 17";"Володілець(і) даних";"Комунальне підприємство «Київський метрополітен»"
"Ресурс 17";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 17";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/5/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson"
"Ресурс 17";"Версії ресурсу";"-"
"Ресурс 17";"Доступність через API";"True"

"Ресурс 18";"Ідентифікатор ресурсу";"224537e0-271e-49a3-bf9a-840e9f37c882"
"Ресурс 18";"Назва ресурсу";"agency.csv"
"Ресурс 18";"Опис ресурсу";"Таблиця містить назви, ідентифікатори та контактні дані суб’єктів господарювання, що надають послуги пасажирського автомобільного транспорту у місті Києві. Кожним записом в таблиці є один перевізник."
"Ресурс 18";"Формат";"CSV"
"Ресурс 18";"Код ресурсу";"agency"
"Ресурс 18";"Дата створення ресурсу";"2026-03-10T22:45:04"
"Ресурс 18";"Дата оновлення ресурсу";"2026-03-10T22:45:03"
"Ресурс 18";"Період даних";"-"
"Ресурс 18";"Джерело даних";"-"
"Ресурс 18";"Володілець(і) даних";"-"
"Ресурс 18";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 18";"URL поточної версії ресурсу";"https://data.kyivcity.gov.ua/dataset/7b958c05-43ba-4ae5-b541-01904d658030/resource/224537e0-271e-49a3-bf9a-840e9f37c882/download/agency.csv"
"Ресурс 18";"Версії ресурсу";"-"
"Ресурс 18";"Доступність через API";"False"

"Дата формування";"03.07.2026 10:32";""
